# Data from Kumar et al. 2024 2024arXiv240318076K
Name	Ep		Ep_err	Td		Td_err	Tp		Tp_err	Rp		Rp_err	Vexp	Vexp_err	mejecta	mejecta_err	Pspin	Pspin_err	B		B_err	chi
1998bw	2.67	0.01	12.35	0.07	9.49	0.09	19.26	0.57	30.81	1.43		3.62	0.21		27.38	0.04		19.38	0.09	1.06
2003dh	4.76	0.60	16.32	2.01	9.44	1.49	11.41	2.35	22.21	8.57		4.55	2.88		20.50	1.30		14.56	1.15	0.26
2003lw	3.62	0.19	19.77	0.79	4.90	0.21	84.67	6.75	20.59	1.76		6.20	1.02		23.51	0.62		23.17	0.49	1.05
2006aj	10.54	0.72	18.12	1.21	0.52	0.05	0.01	0.36	20.47	6.39		5.18	2.31		13.78	0.47		41.58	2.18	1.34
2010bh	2.89	0.03	15.79	0.80	3.69	0.10	0.04	0.13	29.54	2.97		5.67	1.15		26.32	0.16		29.87	0.41	1.58
2010ma	17.75	1.96	18.41	0.51	0.48	0.19	7.16	1.02	15.32	3.67		4.00	1.18		10.61	0.59		33.23	6.65	0.80
2011kl	11.87	0.71	12.68	0.32	12.70	1.22	10.26	3.56	24.46	2.46		3.03	0.46		12.98	0.39		7.95	0.38	1.21
2012bz	7.30	0.22	19.15	0.13	3.59	0.14	8.44	1.18	28.87	4.72		8.15	1.44		16.56	0.25		19.06	0.38	1.40
2013dx	4.36	0.05	13.65	0.04	5.38	0.04	10.62	1.67	23.52	4.88		3.37	0.72		21.42	0.11		20.13	0.08	2.66
2016jca	2.34	0.08	14.96	0.57	7.37	0.82	1.86	0.50	33.89	3.91		5.84	1.12		29.25	0.51		23.50	1.31	1.32
2017htp	5.43	0.01	17.15	0.33	13.94	1.50	0.07	0.03	14.37	0.66		3.25	0.27		19.18	0.20		11.21	0.61	0.57
2017iuk	2.64	0.01	17.01	1.26	10.91	0.41	0.05	0.02	28.72	4.08		6.40	1.86		27.50	0.05		18.16	0.34	1.74
2019jrj	6.14	0.28	19.51	1.88	1.09	0.02	0.51	0.07	23.93	3.71		7.01	2.44		18.04	0.41		37.75	0.29	0.98
2009bb	1.06	0.01	12.16	0.15	4.19	0.04	20.40	7.55	17.98	6.80		2.05	0.82		43.36	0.28		46.22	0.19	1.14
2012ap	1.20	0.01	16.17	1.07	6.71	0.21	29.63	4.35	21.38	4.56		4.30	1.49		40.77	0.97		34.34	0.54	1.26
