# Data from Aguilera-Dena et al. 2020ApJ...901..114A
Minit	Eexp	MNi		Mns		mejecta	ErotNS	Mrot	Etot
4		1.64	0.12	1.34	1.83	0.69	0.0004	0.97
#5		2.75	0.22	1.21	2.76	0.38	0.0009	1.06
6		1.33	0.12	1.38	3.35	4.77	0.0021	1.10
7		0.65	0.07	1.26	4.3		1.97	0.0021	1.04
8		0.83	0.09	1.28	5.07	2.40	0.0030	1.12
10		4.45	0.11	1.75	6.07	24.8	0.0092	1.64
11		2.64	0.13	1.64	6.98	20.1	0.0128	1.71
12		1.41	0.09	1.46	7.98	8.52	0.0089	1.48
13		2.47	0.15	1.39	8.82	5.17	0.0073	1.48
14		3.84	0.21	1.49	9.47	6.10	0.0091	1.66
15		4.28	0.20	1.59	10.1	13.2	0.0116	1.78
16		5.09	0.09	1.79	10.6	30.2	0.0138	1.96
26		2.99	0.098	1.53	18.3	17.1	0.0245	2.61
27		4.97	0.170	1.48	19.1	7.51	0.0312	2.86
28		3.50	0.142	1.55	19.8	15.8	0.0307	2.87
29		3.85	0.095	1.65	20.4	26.2	0.0311	2.95
30		4.07	0.096	1.66	21.1	16.2	0.0318	3.04
31		4.29	0.096	1.65	21.8	12.6	0.0328	3.12
34		1.17	0.003	2.01	23.5	98.6	0.0421	3.46
